sweep_id,series,direction,encoder_deg,temperature_sensor_k,field_sensor_t,rho_xx_uohm_cm
A01,angle,up,-1.25054650,1.81679235,6.45395222,20.07918241
A01,angle,up,-1.25864462,1.81712511,6.46942795,20.08088648
A01,angle,up,-1.25252876,1.81683221,6.48512730,20.08592152
A01,angle,up,-1.25329029,1.81691357,6.49972315,20.08483809
A01,angle,up,-1.25624764,1.81680110,6.51554171,20.08908720
A01,angle,up,-1.25241769,1.81716925,6.53020940,20.09310994
A01,angle,up,-1.25491571,1.81671235,6.54612481,20.10247439
A01,angle,up,-1.25771613,1.81693046,6.56147141,20.15352257
A01,angle,up,-1.25627224,1.81644940,6.57615118,20.12525096
A01,angle,up,-1.25219438,1.81735071,6.59231450,20.13852059
A01,angle,up,-1.25868142,1.81697882,6.60847201,
A01,angle,up,-1.24858613,1.81739099,6.62313196,20.16366815
A01,angle,up,-1.25800642,1.81690930,6.63862510,20.16957908
A01,angle,up,-1.25404635,1.81697960,6.65367186,20.17052261
A01,angle,up,-1.25154411,1.81675674,6.66935180,20.17499140
A01,angle,up,-1.25527888,1.81701016,6.68517638,20.17329845
A01,angle,up,-1.25521230,1.81741816,6.70017922,20.18092382
A01,angle,up,-1.25124385,1.81711127,6.71586897,20.18524538
A01,angle,up,-1.25105075,1.81691916,6.73045055,20.19582107
A01,angle,up,-1.25307106,1.81640385,6.74624755,20.20483367
A01,angle,up,-1.25697903,1.81709576,6.76197631,20.21942897
A01,angle,up,-1.25458379,1.81602516,6.77790094,20.23321468
A01,angle,up,-1.25949692,1.81652557,6.79233133,20.24726176
A01,angle,up,-1.25146739,1.81612085,6.80919015,20.25926691
A01,angle,up,-1.24940446,1.81661284,6.82380993,20.26467584
A01,angle,up,-1.26213687,1.81636691,6.83820236,20.26673749
A01,angle,up,-1.25683315,1.81696555,6.85379441,20.27076223
A01,angle,up,-1.25402020,1.81694584,6.86936212,20.27227011
A01,angle,up,-1.25129175,1.81660276,6.88522718,20.27668361
A01,angle,up,-1.25227609,1.81782549,6.90020705,20.28489668
A01,angle,up,-1.26302344,1.81691506,6.91628096,20.29197567
A01,angle,up,-1.24948292,1.81713605,6.93047119,20.30250767
A01,angle,up,-1.25826792,1.81755256,6.94535499,20.31326004
A01,angle,up,-1.25486240,1.81679783,6.96192690,20.32935741
A01,angle,up,-1.25137074,1.81723440,6.97772966,20.34329019
A01,angle,up,-1.25348729,1.81719732,6.99246561,20.35699154
A01,angle,up,-1.25325971,1.81696026,7.00847813,20.36569498
A01,angle,up,-1.25456152,1.81670051,7.02358281,20.37382615
A01,angle,up,-1.25216029,1.81642959,7.03858689,20.37447978
A01,angle,up,-1.25483658,1.81743356,7.05386763,20.37700532
A01,angle,up,-1.25840883,1.81639338,7.06895167,20.37853887
A01,angle,up,-1.25419659,1.81731883,7.08531345,20.38613412
A01,angle,up,-1.25631881,1.81673833,7.10040401,20.39095580
A01,angle,up,-1.25303779,1.81743205,7.11588137,20.40051206
A01,angle,up,-1.24893620,1.81631474,7.13088677,20.41191060
A01,angle,up,-1.25787278,1.81677798,7.14647343,20.42228984
A01,angle,up,-1.25085224,1.81651245,7.16176733,20.44012413
A01,angle,up,-1.25525893,1.81740024,7.17717134,20.45239053
A01,angle,up,-1.25406487,1.81609879,7.19251303,20.46799021
A01,angle,up,-1.25669521,1.81614638,7.20839564,20.47797380
A01,angle,up,-1.25518954,1.81706698,7.22379300,20.48782185
A01,angle,up,-1.25237940,1.81647322,7.23907208,20.49148386
A01,angle,up,-1.25469017,1.81739435,7.25325431,20.49267790
A01,angle,up,-1.25562430,1.81750895,7.26941732,20.49658388
A01,angle,up,-1.25595507,1.81683496,7.28520982,20.49801060
A01,angle,up,-1.25102879,1.81693093,7.30077965,20.50458086
A01,angle,up,-1.25457710,1.81714495,7.31650735,20.51268451
A01,angle,up,-1.24923078,1.81619892,7.33209989,20.52154938
A01,angle,up,-1.25556852,1.81637431,7.34767450,20.53233911
A01,angle,up,-1.24930730,1.81665756,7.36230249,20.54691114
A01,angle,up,-1.25308522,1.81741477,7.37739745,20.56266823
A01,angle,up,-1.25191904,1.81712984,7.39296194,20.57692852
A01,angle,up,-1.25698490,1.81694215,7.40847169,20.59304793
A01,angle,up,-1.25792170,1.81577993,7.42439061,20.60522619
A01,angle,up,-1.25279491,1.81735651,7.43937076,20.61407646
A01,angle,up,-1.25663603,1.81764967,7.45417404,20.62092190
A01,angle,up,-1.25547919,1.81645098,7.47019025,20.62321301
A01,angle,up,-1.25260888,1.81622290,7.48525128,20.62660011
A01,angle,up,-1.25699561,1.81643487,7.50148845,20.62795292
A01,angle,up,-1.25113232,1.81689137,7.51659686,20.63225804
A01,angle,up,-1.25630944,1.81671199,7.53146700,20.64153085
A01,angle,up,-1.25265305,1.81710341,7.54687839,20.65032881
A01,angle,up,-1.25387080,1.81648165,7.56209905,20.65961549
A01,angle,up,-1.24718702,1.81651229,7.57738809,20.67285553
A01,angle,up,-1.25660827,1.81588980,7.59281349,20.68503680
A01,angle,up,-1.25197317,1.81699437,7.60862239,20.70191748
A01,angle,up,-1.25297408,1.81688990,7.62323828,20.71981934
A01,angle,up,-1.25342797,1.81789558,7.63854679,20.73499555
A01,angle,up,-1.24758346,1.81681524,7.65372443,20.74984071
A01,angle,up,-1.25109641,1.81679611,7.67037889,20.75707042
A01,angle,up,-1.25144057,1.81756990,7.68542468,20.76171473
A01,angle,up,-1.25311740,1.81665146,7.70112642,20.76529050
A01,angle,up,-1.25102132,1.81767170,7.71538392,20.77044652
A01,angle,up,-1.25912549,1.81637335,7.73211300,20.77348437
A01,angle,up,-1.25408193,1.81746019,7.74680635,20.77985624
A01,angle,up,-1.25795173,1.81670115,7.76225532,20.78436837
A01,angle,up,-1.25696959,1.81652527,7.77720118,20.79145560
A01,angle,up,-1.25417182,1.81708680,7.79320171,20.80381264
A01,angle,up,-1.25433861,1.81644889,7.80890609,20.81425337
A01,angle,up,-1.25130280,1.81600077,7.82375472,20.82521033
A01,angle,up,-1.25833442,1.81684422,7.83954786,20.84220210
A01,angle,up,-1.25766975,1.81699410,7.85420738,20.85756585
A01,angle,up,-1.25485937,1.81698613,7.86943819,20.87406432
A01,angle,up,-1.25661680,1.81651564,7.88526835,20.89155579
A01,angle,up,-1.25340728,1.81702033,7.90076431,20.90584974
A01,angle,up,-1.25433334,1.81670898,7.91653589,20.91546643
A01,angle,up,-1.25573770,1.81618043,7.93172726,20.92005262
A01,angle,up,-1.25821357,1.81637876,7.94706750,20.92582870
A01,angle,up,-1.25602646,1.81616571,7.96285609,20.93422279
A01,angle,up,-1.25373900,1.81679042,7.97799830,20.93533829
A01,angle,up,-1.24894791,1.81737294,7.99387271,20.94027031
A01,angle,up,-1.25194164,1.81654963,8.00890019,20.94986508
A01,angle,up,-1.25526264,1.81642487,8.02467555,20.95208121
A01,angle,up,-1.25592415,1.81624723,8.03940426,20.96435669
A01,angle,up,-1.25298218,1.81638839,8.05457775,20.97427174
A01,angle,up,-1.25456920,1.81657300,8.07088034,20.98572415
A01,angle,up,-1.24954072,1.81693506,8.08574456,21.00067798
A01,angle,up,-1.25353560,1.81747209,8.10130981,21.01580451
A01,angle,up,-1.25220291,1.81567032,8.11707851,21.03068685
A01,angle,up,-1.25685297,1.81771206,8.13143724,21.05140435
A01,angle,up,-1.25111594,1.81676821,8.14795896,21.06596296
A01,angle,up,-1.25063365,1.81672637,8.16312586,21.08277176
A01,angle,up,-1.25782353,1.81616034,8.17722480,21.09002204
A01,angle,up,-1.25488017,1.81647981,8.19299788,21.09988877
A01,angle,up,-1.25525225,1.81673158,8.20895660,21.10732221
A01,angle,up,-1.25670878,1.81715841,8.22473940,21.11229440
A01,angle,up,-1.24939513,1.81679062,8.23947305,21.11770176
A01,angle,up,-1.26288915,1.81573850,8.25512984,21.12030368
A01,angle,up,-1.25555854,1.81727763,8.27024020,21.12894789
A01,angle,up,-1.25089599,1.81668148,8.28509495,21.13554646
A01,angle,up,-1.25479292,1.81644929,8.30082638,21.14342463
A01,angle,up,-1.25917896,1.81632928,8.31678109,21.15447290
A01,angle,up,-1.25656725,1.81697734,8.33218979,21.16542919
A01,angle,up,-1.25512692,1.81731600,8.34758276,21.17695524
A01,angle,up,-1.25078430,1.81679857,8.36298586,21.19320297
A01,angle,up,-1.24884149,1.81691820,8.37798600,21.20932077
A01,angle,up,-1.25520992,1.81659404,8.39284213,21.22794844
A01,angle,up,-1.25575665,1.81727279,8.40920166,21.24663942
A01,angle,up,-1.25749139,1.81801728,8.42396039,21.26260558
A01,angle,up,-1.25642625,1.81757248,8.43956690,21.27737395
A01,angle,up,-1.25351898,1.81601497,8.45513870,21.29158317
A01,angle,up,-1.25409047,1.81732703,8.47085260,21.30134531
A01,angle,up,-1.25647757,1.81684537,8.48601840,21.30895569
A01,angle,up,-1.25526305,1.81659070,8.50109938,21.31379205
A01,angle,up,-1.24927132,1.81636469,8.51655989,21.32050588
A01,angle,up,-1.25403567,1.81693458,8.53220013,21.32545766
A01,angle,up,-1.25744403,1.81701197,8.54720580,21.32985895
A01,angle,up,-1.25297255,1.81655876,8.56234987,21.33697940
A01,angle,up,-1.25815560,1.81698040,8.57765453,21.34446996
A01,angle,up,-1.25684987,1.81669895,8.59354020,21.35393918
A01,angle,up,-1.25624023,1.81701902,8.60889055,21.36757358
A01,angle,up,-1.25141919,1.81709408,8.62389741,21.37790894
A01,angle,up,-1.25013806,1.81711188,8.63897216,21.39092821
A01,angle,up,-1.25553303,1.81650179,8.65477269,21.40665511
A01,angle,up,-1.25221875,1.81708714,8.67052641,21.42363125
A01,angle,up,-1.25451160,1.81687035,8.68535220,21.43950828
A01,angle,up,-1.25674773,1.81680155,8.70082731,21.50246659
A01,angle,up,-1.25033912,1.81725286,8.71615625,21.47770387
A01,angle,up,-1.25088956,1.81652615,8.73137135,21.49464364
A01,angle,up,-1.24802975,1.81651918,8.74776184,21.51438253
A01,angle,up,-1.25433901,1.81662952,8.76326276,21.52384396
A01,angle,up,-1.25167402,1.81693144,8.77836732,21.53363174
A01,angle,up,-1.25688793,1.81586967,8.79320473,21.53968497
A01,angle,up,-1.25245250,1.81671315,8.80972872,21.54677524
A01,angle,up,-1.25225451,1.81703723,8.82296066,21.55427538
A01,angle,up,-1.24978657,1.81710704,8.83982672,21.55811966
A01,angle,up,-1.25480704,1.81681886,8.85509011,21.56502931
A01,angle,up,-1.24941201,1.81673598,8.87011209,21.56942021
A01,angle,up,-1.25340357,1.81625103,8.88519115,21.58202114
A01,angle,up,-1.25520001,1.81719045,8.90159454,21.59104189
A01,angle,up,-1.25198692,1.81690784,8.91677660,21.60497156
A01,angle,up,-1.26003162,1.81701933,8.93203967,21.61344552
A01,angle,up,-1.24770079,1.81705725,8.94781217,21.62861975
A01,angle,up,-1.25706182,1.81646880,8.96319206,21.64256082
A01,angle,up,-1.25814139,1.81698317,8.97766811,21.65948482
A01,angle,up,-1.25545573,1.81797139,8.99376466,21.67802183
A01,angle,up,-1.25341385,1.81630607,9.00983797,21.69471046
A01,angle,up,-1.25628205,1.81716027,9.02446933,21.71550415
A01,angle,up,-1.25194689,1.81766284,9.03949385,21.73430075
A01,angle,up,-1.25429547,1.81728437,9.05526704,21.75286847
A01,angle,up,-1.25695728,1.81641746,9.07050032,21.76692706
A01,angle,up,-1.25822021,1.81715731,9.08590552,21.78136628
A01,angle,up,-1.25660224,1.81731309,9.10113823,21.79133191
A01,angle,up,-1.25670620,1.81645669,9.11604922,21.80338081
A01,angle,up,-1.25555895,1.81675984,9.13235392,21.80854544
A01,angle,up,-1.25759784,1.81667370,9.14711890,21.81472909
A01,angle,up,-1.25520117,1.81711723,9.16237957,21.82161510
A01,angle,up,-1.25515202,1.81727761,9.17826972,21.83014197
A01,angle,up,-1.25166598,1.81676843,9.19402618,21.83814058
A01,angle,up,-1.24996657,1.81676195,9.20922535,21.84494214
A01,angle,up,-1.25458836,1.81655710,9.22397132,21.85822216
A01,angle,up,-1.24954834,1.81649262,9.23966788,21.86684985
A01,angle,up,-1.25009131,1.81600404,9.25602631,21.87920254
A01,angle,up,-1.25519015,1.81656964,9.27158198,21.89252296
A01,angle,up,-1.25271489,1.81716741,9.28590174,21.90826718
A01,angle,up,-1.25476950,1.81654821,9.30129878,21.92143458
A01,angle,up,-1.25618119,1.81694996,9.31614524,21.93710541
A01,angle,up,-1.24984871,1.81726606,9.33218118,21.95593282
A01,angle,up,-1.25773679,1.81627940,9.34677161,21.97655043
A01,angle,up,-1.25066274,1.81749475,9.36301816,21.99533625
A01,angle,up,-1.25665926,1.81705264,9.37825056,22.01474595
A01,angle,up,-1.25237882,1.81637569,9.39421398,22.03542821
A01,angle,up,-1.25868973,1.81671726,9.40874999,22.05292098
A01,angle,up,-1.25417241,1.81694086,9.42515209,22.07003939
A01,angle,up,-1.25629889,1.81678723,9.43982449,22.08248087
A01,angle,up,-1.25314490,1.81665106,9.45538653,22.09475226
A01,angle,up,-1.25235791,1.81795016,9.47093434,22.10494350
A01,angle,up,-1.25220242,1.81611125,9.48668581,22.11250753
A01,angle,up,-1.25698877,1.81654852,9.50169125,22.12082066
A01,angle,up,-1.25796292,1.81659456,9.51690216,22.12837602
A01,angle,up,-1.26162067,1.81759637,9.53339817,22.13468070
A01,angle,up,-1.25310600,1.81599825,9.54749131,22.14336848
A01,angle,up,-1.25355675,1.81689413,9.56261348,22.15298204
A01,angle,up,-1.25622477,1.81675010,9.57854857,22.16415177
A01,angle,up,-1.25241132,1.81638446,9.59441321,22.17515846
A01,angle,up,-1.25787090,1.81734928,9.60852462,22.18741440
A01,angle,up,-1.25151079,1.81709029,9.62576126,22.20124858
A01,angle,up,-1.25188108,1.81709753,9.64011036,22.21525790
A01,angle,up,-1.25927747,1.81661112,9.65524704,22.23147982
A01,angle,up,-1.25714123,1.81682658,9.67028108,22.24632042
A01,angle,up,-1.25448671,1.81667198,9.68656045,22.26285021
A01,angle,up,-1.25497103,1.81721075,9.70173130,22.28417880
A01,angle,up,-1.25297115,1.81726832,9.71767236,22.30381743
A01,angle,up,-1.25508360,1.81674454,9.73312722,22.32299951
A01,angle,up,-1.25502082,1.81698379,9.74840211,22.34333504
A01,angle,up,-1.25427227,1.81807547,9.76347116,22.36459266
A01,angle,up,-1.25524089,1.81702244,9.77914990,22.38291523
A01,angle,up,-1.25518527,1.81718057,9.79393718,22.40186341
A01,angle,up,-1.25683200,1.81722552,9.80990202,22.41755831
A01,angle,up,-1.25662078,1.81641243,9.82440620,22.43203238
A01,angle,up,-1.25783671,1.81651053,9.84047101,22.44422680
A01,angle,up,-1.25400242,1.81705091,9.85531767,22.45579479
A01,angle,up,-1.25572554,1.81684259,9.87102628,22.46507393
A01,angle,up,-1.25409396,1.81721715,9.88636442,22.47326069
A01,angle,up,-1.25623972,1.81722759,9.90117340,22.48300042
A01,angle,up,-1.25087630,1.81704234,9.91727642,22.48917741
A01,angle,up,-1.25526004,1.81641198,9.93249857,22.49840885
A01,angle,up,-1.25722710,1.81693344,9.94862313,22.51011631
A01,angle,up,-1.24907795,1.81647956,9.96404887,22.52038563
A01,angle,up,-1.25100232,1.81625211,9.97785047,22.53192180
A01,angle,up,-1.25176275,1.81734532,9.99400398,22.54585341
A01,angle,up,-1.25239927,1.81631249,10.01049611,22.55920044
A01,angle,up,-1.24787822,1.81667649,10.02456377,22.57549513
A01,angle,up,-1.25434477,1.81611929,10.04012535,22.59047813
A01,angle,up,-1.25219382,1.81716333,10.05600429,22.60545083
A01,angle,up,-1.25184821,1.81599293,10.07083883,22.62364165
A01,angle,up,-1.25815389,1.81681172,10.08679008,22.64042281
A01,angle,up,-1.25398251,1.81773970,10.10214929,22.66137477
A01,angle,up,-1.25026493,1.81643842,10.11707113,22.68257763
A01,angle,up,-1.25595429,1.81688239,10.13333137,22.70270117
A01,angle,up,-1.25331736,1.81616471,10.14808369,22.72688853
A01,angle,up,-1.24951517,1.81661900,10.16304983,22.74785154
A01,angle,up,-1.25016763,1.81719804,10.17784401,22.76851092
A01,angle,up,-1.25347300,1.81749211,10.19485323,22.78768329
A01,angle,up,-1.26073956,1.81679451,10.20866410,22.80621832
A01,angle,up,-1.25284352,1.81663300,10.22547865,22.82391342
A01,angle,up,-1.25522365,1.81668670,10.24032013,22.83807411
A01,angle,up,-1.25347657,1.81613587,10.25617481,22.84941707
A01,angle,up,-1.25471840,1.81613754,10.27091486,22.86066200
A01,angle,up,-1.25184000,1.81626541,10.28696252,22.87289356
A01,angle,up,-1.26093196,1.81671720,10.30179142,22.88374775
A01,angle,up,-1.25652459,1.81712539,10.31720271,22.89126877
A01,angle,up,-1.25228936,1.81767699,10.33278489,22.90025322
A01,angle,up,-1.25867594,1.81709693,10.34716153,22.90965511
A01,angle,up,-1.25332575,1.81622946,10.36371879,22.92083234
A01,angle,up,-1.25296117,1.81567870,10.37869713,22.93438672
A01,angle,up,-1.25016181,1.81660586,10.39425236,22.94979768
A01,angle,up,-1.25842110,1.81719979,10.40904973,22.96131531
A01,angle,up,-1.25138847,1.81695973,10.42491086,22.97890500
A01,angle,up,-1.25254198,1.81569630,10.44031958,22.99017598
A01,angle,up,-1.25453067,1.81695670,10.45634162,23.00612566
A01,angle,up,-1.25880558,1.81683449,10.47154264,23.02257614
A01,angle,up,-1.25064937,1.81713504,10.48723826,23.04188140
A01,angle,up,-1.25586863,1.81649711,10.50245190,23.06092983
A01,angle,up,-1.24939528,1.81749318,10.51702879,23.08214345
A01,angle,up,-1.25289515,1.81673346,10.53237440,23.10080033
A01,angle,up,-1.25803579,1.81645729,10.54776027,23.12276545
A01,angle,up,-1.25459193,1.81654817,10.56352805,23.14422027
A01,angle,up,-1.25546356,1.81616952,10.57918702,23.16488402
A01,angle,up,-1.25681021,1.81642509,10.59558676,23.18703684
A01,angle,up,-1.25275745,1.81646838,10.60962313,23.21342357
A01,angle,up,-1.25428728,1.81659629,10.62491719,23.23335746
A01,angle,up,-1.25135803,1.81718613,10.64040237,23.25583017
A01,angle,up,-1.25486684,1.81687547,10.65602230,23.27631685
A01,angle,up,-1.25261790,1.81644527,10.67162338,23.28919188
A01,angle,up,-1.25575299,1.81693033,10.68687954,23.30682420
A01,angle,up,-1.26036078,1.81690097,10.70310695,23.31961073
A01,angle,up,-1.25663705,1.81605226,10.71724446,23.33364860
A01,angle,up,-1.24962758,1.81648244,10.73360387,23.34532355
A01,angle,up,-1.25475821,1.81784920,10.74880141,23.35791877
A01,angle,up,-1.25068091,1.81614617,10.76371420,23.36733835
A01,angle,up,-1.25119285,1.81657445,10.77942112,23.37866793
A01,angle,up,-1.25395332,1.81771799,10.79461496,23.39002512
A01,angle,up,-1.24984160,1.81732532,10.81009798,23.40174075
A01,angle,up,-1.24699876,1.81688250,10.82511552,23.41348743
A01,angle,up,-1.24970640,1.81774040,10.84079180,23.43021909
A01,angle,up,-1.24587540,1.81701277,10.85614896,23.44287404
A01,angle,up,-1.25173146,1.81700186,10.87107214,23.45842632
A01,angle,up,-1.25802158,1.81764586,10.88688626,23.47500663
A01,angle,up,-1.25274303,1.81711894,10.90240919,23.49104113
A01,angle,up,-1.25267061,1.81671415,10.91790682,23.50599751
A01,angle,up,-1.25199730,1.81698063,10.93257971,23.52594280
A01,angle,up,-1.25318322,1.81742533,10.94805450,23.54309113
A01,angle,up,-1.25369921,1.81635085,10.96422573,23.56325087
A01,angle,up,-1.25402319,1.81713396,10.97974890,23.58196275
A01,angle,up,-1.25474625,1.81683735,10.99443668,23.60540862
A01,angle,up,-1.25809890,1.81629110,11.00940774,23.62300783
A01,angle,up,-1.25371865,1.81717665,11.02506208,23.64826020
A01,angle,up,-1.25539103,1.81584761,11.04057016,23.67125839
A01,angle,up,-1.25349616,1.81609367,11.05661370,23.69700064
A01,angle,up,-1.25403364,1.81731652,11.07126893,23.71664620
A01,angle,up,-1.25830178,1.81586107,11.08697400,23.74580341
A01,angle,up,-1.25005806,1.81662452,11.10206904,23.76803570
A01,angle,up,-1.25584771,1.81678700,11.11753173,23.79003189
A01,angle,up,-1.25430012,1.81644698,11.13345352,23.81171916
A01,angle,up,-1.25996586,1.81661144,11.14881884,23.83146821
A01,angle,up,-1.25287805,1.81642021,11.16378977,23.84809909
A01,angle,up,-1.25547675,1.81611123,11.17966059,23.86588594
A01,angle,up,-1.25187257,1.81705709,11.19483281,23.88319283
A01,angle,up,-1.26351220,1.81693432,11.21031619,23.89794089
A01,angle,up,-1.25252183,1.81652344,11.22454463,23.91193028
A01,angle,up,-1.25404523,1.81678170,11.24055598,23.92215861
A01,angle,up,-1.25427401,1.81706241,11.25533281,23.93553690
A01,angle,up,-1.25865979,1.81688960,11.27242039,23.94671969
A01,angle,up,-1.25398683,1.81668291,11.28716128,23.96042964
A01,angle,up,-1.25334673,1.81613958,11.30280806,23.97380204
A01,angle,up,-1.24855840,1.81528874,11.31817707,23.98914209
A01,angle,up,-1.25365035,1.81684479,11.33237539,24.00292506
A01,angle,up,-1.25445256,1.81674794,11.34844943,24.02079504
A01,angle,up,-1.25217801,1.81745917,11.36504344,24.03593066
A01,angle,up,-1.25305542,1.81682364,11.37904457,24.05188866
A01,angle,up,-1.25848967,1.81716709,11.39407087,24.06717793
A01,angle,up,-1.25106529,1.81707792,11.41086046,24.08491830
A01,angle,up,-1.24931659,1.81711496,11.42606519,24.10488587
A01,angle,up,-1.25006999,1.81690087,11.44037700,24.12406251
A01,angle,up,-1.25741441,1.81766101,11.45640177,24.14503522
A01,angle,up,-1.25741236,1.81670589,11.47202822,24.16517147
A01,angle,up,-1.25241526,1.81693870,11.48787845,24.18458684
A01,angle,up,-1.25564981,1.81705721,11.50209644,24.20831225
A01,angle,up,-1.25084022,1.81700854,11.51816175,24.23089990
A01,angle,up,-1.25331691,1.81641543,11.53421447,24.25330124
A01,angle,up,-1.24921469,1.81710365,11.54875540,24.27907359
A01,angle,up,-1.25858281,1.81737753,11.56405750,24.30369445
A01,angle,up,-1.25804323,1.81669607,11.57936782,24.32907548
A01,angle,up,-1.25764459,1.81726807,11.59573663,24.35440914
A01,angle,up,-1.25705465,1.81660943,11.61076847,24.37870499
A01,angle,up,-1.25428735,1.81669552,11.62618915,24.40604991
A01,angle,up,-1.25508378,1.81756116,11.64130611,24.43064529
A01,angle,up,-1.25258335,1.81705240,11.65627169,24.45247866
A01,angle,up,-1.25036049,1.81680083,11.67262902,24.47654998
